"Date","Price","Open","High","Low","Vol.","Change %"
"01-06-2025","224.05","226.11","226.11","224.05","1.93B","-0.87%"
"25-05-2025","226.01","226.84","227.92","224.10","38.96B","0.11%"
"18-05-2025","225.76","223.93","226.49","222.65","60.06B","1.15%"
"11-05-2025","223.20","219.09","223.22","219.09","41.71B","2.33%"
"04-05-2025","218.12","217.24","222.52","216.52","56.88B","0.78%"
"27-04-2025","216.42","212.63","216.56","211.92","45.78B","2.08%"
"20-04-2025","212.02","205.30","212.10","204.43","47.49B","3.67%"
"13-04-2025","204.52","194.76","204.59","194.76","33.39B","5.52%"
"06-04-2025","193.81","186.16","194.98","183.10","33.74B","-3.78%"
"23-03-2025","201.42","197.95","201.42","188.35","28.66B","1.83%"
"16-03-2025","197.81","201.90","205.79","187.98","49.46B","-3.01%"
"09-03-2025","203.95","206.15","209.62","202.70","40.81B","-0.84%"
"02-03-2025","205.68","198.40","207.59","195.48","42.57B","4.51%"
"23-02-2025","196.80","212.33","213.09","195.66","47.98B","-7.22%"
"16-02-2025","212.11","204.68","212.64","204.38","48.21B","3.90%"
"09-02-2025","204.16","203.78","205.06","198.53","42.06B","0.00%"
"02-02-2025","204.15","211.38","213.51","203.00","44.82B","-3.62%"
"26-01-2025","211.82","214.55","214.59","210.75","15.89B","-1.25%"
"19-01-2025","214.50","214.15","217.73","213.36","44.23B","0.41%"
"12-01-2025","213.63","212.89","214.16","210.87","52.60B","0.57%"
"05-01-2025","212.42","216.15","216.25","210.30","41.83B","-1.62%"
"29-12-2024","215.93","213.84","217.60","212.67","26.52B","0.96%"
"22-12-2024","213.86","213.60","216.14","213.24","22.07B","0.72%"
"15-12-2024","212.33","224.71","225.05","211.23","42.69B","-5.65%"
"08-12-2024","225.03","225.12","229.67","224.42","50.54B","0.20%"
"01-12-2024","224.59","217.49","224.59","216.38","59.22B","3.29%"
"24-11-2024","217.45","220.85","224.29","216.57","66.98B","-1.40%"
"17-11-2024","220.55","216.39","221.93","216.05","76.56B","1.94%"
"10-11-2024","216.36","221.88","223.41","214.37","99.22B","-2.48%"
"03-11-2024","221.87","228.33","229.07","219.97","82.59B","-2.78%"
"27-10-2024","228.21","232.04","232.98","227.75","72.75B","-1.58%"
"20-10-2024","231.86","234.21","236.35","231.68","103.15B","-0.92%"
"13-10-2024","234.02","226.50","234.07","226.49","89.50B","3.31%"
